ANO,NIVEL,CODMUNRES,IDHM_A,IDHM_CA,IDHM_CA_M,IDHM_CA_F
2015,UF,22,0.689,0.646,0.606,0.676
2015,MUNICIPIO,2200053,NA,0.528,NA,NA
2015,MUNICIPIO,2200103,NA,0.599,NA,NA
2015,MUNICIPIO,2200202,NA,0.639,NA,NA
2015,MUNICIPIO,2200251,NA,0.531,NA,NA
2015,MUNICIPIO,2200277,NA,0.585,NA,NA
2015,MUNICIPIO,2200301,NA,0.585,NA,NA
2015,MUNICIPIO,2200400,NA,0.614,NA,NA
2015,MUNICIPIO,2200459,NA,0.578,NA,NA
2015,MUNICIPIO,2200509,NA,0.598,NA,NA
2015,MUNICIPIO,2200608,NA,0.63,NA,NA
2015,MUNICIPIO,2200707,NA,0.594,NA,NA
2015,MUNICIPIO,2200806,NA,0.62,NA,NA
2015,MUNICIPIO,2200905,NA,0.583,NA,NA
2015,MUNICIPIO,2200954,NA,0.519,NA,NA
2015,MUNICIPIO,2201002,NA,0.56,NA,NA
2015,MUNICIPIO,2201051,NA,0.499,NA,NA
2015,MUNICIPIO,2201101,NA,0.554,NA,NA
2015,MUNICIPIO,2201150,NA,0.564,NA,NA
2015,MUNICIPIO,2201176,NA,0.577,NA,NA
2015,MUNICIPIO,2201200,NA,0.595,NA,NA
2015,MUNICIPIO,2201309,NA,0.557,NA,NA
2015,MUNICIPIO,2201408,NA,0.612,NA,NA
2015,MUNICIPIO,2201507,NA,0.545,NA,NA
2015,MUNICIPIO,2201556,NA,0.576,NA,NA
2015,MUNICIPIO,2201572,NA,0.551,NA,NA
2015,MUNICIPIO,2201606,NA,0.557,NA,NA
2015,MUNICIPIO,2201705,NA,0.612,NA,NA
2015,MUNICIPIO,2201739,NA,0.489,NA,NA
2015,MUNICIPIO,2201770,NA,0.575,NA,NA
2015,MUNICIPIO,2201804,NA,0.632,NA,NA
2015,MUNICIPIO,2201903,NA,0.668,NA,NA
2015,MUNICIPIO,2201919,NA,0.532,NA,NA
2015,MUNICIPIO,2201929,NA,0.542,NA,NA
