"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPRE_RA","POPRE_RE","TFG","TMG","RMM","TMM","TMM_P","TMN","TMN_P","TMN_T","TMI"
2015,"UF",22,3204028,3118360,1528422,1589938,830036,1691520,596804,406789,863841,319308,0.689,0.646,0.606,0.676,49253,35303,35303,592,10155,12818,12353,8673,3774,833,49,6,48655,20,25,30,25.37,6.47,368,4601,15201,0,2108,5151,5719,NA,235,NA,22,13170,35348,20187,29066,48323,867,24,152,455,45800,0,2315,NA,0,NA,38,39,40,38.7,2.2,0,10903,4087,4901,24240,21242,28011,23055,26194,46311,NA,174,14540,2337,13294,1580,9330,627,754,862,174,4211,47662,1297,221,71,0,25129,24105,5733,NA,235,NA,22,3701,42429,3105,2940,3250,3560,3224.95,555.23,NA,38366,5577,678,43638,9.54,1.01,353,48348,19366,0,0,2477,16889,623,2771,6486,1861,5148,11033,8310,996,0,659,625,34,0,19,71,8,0,486,0,65,19,5,1,27,13,52,47,0,7,16,13,4,3,5278.779,531.813,57.02,6.04,105.58,7.52,6.02,13.38,12.69,0.69,13.38
2015,"MUNICIPIO",220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,0,0,0,0,0,1,24,24,24,24,NA,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,40,40,40,40,NA,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3475,3475,3475,3475,NA,0,1,0,0,1,9,NA,0,1,52,0,0,15,37,0,0,4,0,33,37,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
2015,"MUNICIPIO",220005,6933,6749,3459,3290,1905,3572,1272,942,1748,600,NA,0.528,NA,NA,87,49,49,0,18,22,25,14,5,3,0,0,87,20,25,29.5,25.49,6.5,2,17,32,0,3,2,43,7,0,26,0,15,70,34,53,87,0,0,1,0,85,0,1,86,0,1,37,38,39,38.08,2.11,0,14,4,13,52,87,0,27,60,56,30,1,13,4,22,3,7,15,15,0,1,7,87,0,0,0,0,36,51,43,7,0,26,0,9,75,3,2972.5,3300,3525,3192.94,576.85,7,64,16,1,59,9.78,0.78,0,83,47,0,0,7,40,2,5,16,1,16,28,18,1,0,5,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.563,NA,49.77,6.78,0,0,0,57.47,57.47,0,57.47
2015,"MUNICIPIO",220010,5078,5098,2455,2643,1323,2502,1273,675,1279,689,NA,0.599,NA,NA,84,62,62,1,14,20,20,24,3,1,1,0,83,21.75,27,31,26.25,6.28,0,7,19,0,2,1,1,3,1,76,0,19,63,31,53,81,3,0,2,2,75,0,4,79,0,4,38,39,40,38.43,3.2,0,16,2,8,49,83,1,47,37,76,2,0,24,1,23,1,16,1,0,3,0,9,83,0,1,0,0,47,37,1,3,1,76,0,7,71,6,2907.5,3132.5,3496.25,3169.87,706.61,5,63,12,2,79,9.64,0.93,1,82,47,0,0,4,43,2,5,18,3,15,26,20,2,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.944,NA,65.68,9.26,0,0,0,35.71,35.71,0,35.71
2015,"MUNICIPIO",220020,17010,16451,7804,8647,4589,8385,3477,2329,4388,1930,NA,0.639,NA,NA,294,198,198,2,67,95,59,48,15,7,1,0,292,20,24,29,24.65,6.45,0,16,97,0,14,15,22,9,1,245,0,90,201,112,182,289,5,0,0,1,284,0,8,285,0,8,38,39,40,38.67,1.86,0,50,22,30,167,157,137,131,163,239,13,0,76,12,74,10,46,2,7,5,0,20,292,1,1,0,0,150,144,22,9,1,245,0,16,258,20,2945.5,3250,3600,3266.39,513.72,17,227,41,1,279,9.72,0.61,2,291,115,0,0,17,98,0,14,40,10,34,63,52,11,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,16.013,NA,67,6.76,340.14,22.79,22.79,3.4,0,3.4,3.4
2015,"MUNICIPIO",220025,7501,7341,3683,3658,1710,3984,1647,833,1996,829,NA,0.531,NA,NA,85,80,80,0,22,22,26,10,5,0,0,0,85,19,24,27,24.15,5.73,0,11,26,0,2,8,28,0,0,56,0,15,68,40,45,85,0,0,0,1,83,0,0,84,0,0,38,39,39,38.4,1.82,0,23,7,8,44,84,1,22,63,81,4,0,26,7,15,4,22,2,2,0,0,7,84,0,1,0,0,39,46,28,0,0,56,0,8,72,5,2806,3100,3500,3136.8,555.81,7,69,8,2,83,9.46,0.91,1,84,47,0,0,6,41,2,2,25,4,8,29,18,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.316,NA,42.59,6.27,0,0,0,11.76,0,11.76,11.76
2015,"MUNICIPIO",220027,4832,5153,2556,2597,1356,2789,1008,673,1390,534,NA,0.585,NA,NA,71,58,58,0,19,22,15,13,2,0,0,0,71,19,23,27,23.93,5.52,0,14,19,0,4,7,16,1,0,53,0,33,37,31,40,65,6,0,0,0,70,0,1,70,0,1,38,38,39,38.28,1.61,0,19,5,7,35,71,0,16,55,67,2,0,12,13,10,4,19,0,0,6,0,5,71,0,0,0,0,30,41,16,1,0,53,0,1,66,4,2972.5,3200,3455,3246.94,419.18,1,58,6,3,68,9.01,1.29,1,70,40,0,0,14,26,2,6,5,6,7,16,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.832,NA,51.08,8.28,0,0,0,0,0,0,0
2015,"MUNICIPIO",220030,14006,13646,6958,6688,3415,6972,3259,1558,3472,1658,NA,0.585,NA,NA,129,91,91,4,30,30,41,14,8,2,0,0,125,19,25,28,24.43,6.31,1,11,46,0,4,5,12,10,0,101,0,36,93,69,60,128,1,0,0,0,118,0,8,118,0,8,38,39,40,39,1.89,0,22,14,19,55,128,1,77,52,117,5,0,48,8,29,2,16,2,3,1,0,10,126,3,0,0,0,63,66,12,10,0,102,0,7,116,6,2900,3175,3490,3176.67,524.88,11,103,7,3,123,9.73,0.88,1,126,85,0,0,11,74,1,11,26,5,31,54,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.449,NA,37.15,6.07,0,0,0,0,0,0,0
2015,"MUNICIPIO",220040,39715,38822,19116,19706,10380,20625,7817,5053,10504,4149,NA,0.614,NA,NA,626,426,426,12,126,169,171,86,48,14,0,0,614,20,25,29,25.21,6.59,5,66,209,0,28,37,37,22,2,527,0,159,457,256,370,617,7,0,0,4,586,0,29,590,0,29,38,39,40,38.85,1.98,0,152,89,51,226,588,38,334,292,587,12,2,185,22,176,18,121,7,5,7,2,53,595,28,2,1,0,343,283,39,22,2,533,0,44,551,31,2930,3225,3548.75,3213.59,525.7,41,494,63,4,581,9.74,0.69,5,610,274,0,0,34,240,10,42,93,26,69,157,117,10,0,4,4,0,0,1,1,0,0,2,0,2,1,1,0,0,0,2,2,0,0,0,1,1,0,21.311,2.19,59.6,6.9,319.49,19.04,19.04,6.39,6.39,0,6.39
2015,"MUNICIPIO",220045,5278,5050,2648,2402,1654,2549,847,781,1201,420,NA,0.578,NA,NA,84,48,48,2,20,27,20,10,5,0,0,0,82,19,23.5,28,23.94,5.69,0,8,30,0,1,4,13,3,0,68,0,33,51,29,55,84,0,0,0,1,81,0,2,82,0,2,38,39,40,38.89,1.88,0,13,4,8,59,84,0,31,53,80,4,0,11,16,19,6,23,0,4,0,0,5,84,0,0,0,0,44,40,13,3,0,68,0,2,79,3,2944,3152,3535,3225.63,419.7,5,70,8,3,45,8.96,2.17,0,84,18,0,0,5,13,1,1,5,2,4,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.954,NA,69.94,3.41,0,0,0,0,0,0,0
