"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF",22,"3204028",3118360,1528422,1589938,830036,1691520,596804,406789,863841,319308
2015,"MUNICIPIO",2200053,"6933",6749,3459,3290,1905,3572,1272,942,1748,600
2015,"MUNICIPIO",2200103,"5078",5098,2455,2643,1323,2502,1273,675,1279,689
2015,"MUNICIPIO",2200202,"17010",16451,7804,8647,4589,8385,3477,2329,4388,1930
2015,"MUNICIPIO",2200251,"7501",7341,3683,3658,1710,3984,1647,833,1996,829
2015,"MUNICIPIO",2200277,"4832",5153,2556,2597,1356,2789,1008,673,1390,534
2015,"MUNICIPIO",2200301,"14006",13646,6958,6688,3415,6972,3259,1558,3472,1658
2015,"MUNICIPIO",2200400,"39715",38822,19116,19706,10380,20625,7817,5053,10504,4149
2015,"MUNICIPIO",2200459,"5278",5050,2648,2402,1654,2549,847,781,1201,420
2015,"MUNICIPIO",2200509,"17312",17135,8317,8818,4682,8534,3919,2337,4378,2103
2015,"MUNICIPIO",2200608,"6692",6672,3235,3437,1699,3253,1720,826,1678,933
2015,"MUNICIPIO",2200707,"9597",9098,4642,4456,2613,4958,1527,1257,2424,775
2015,"MUNICIPIO",2200806,"3103",3039,1558,1481,809,1561,669,396,754,331
2015,"MUNICIPIO",2200905,"5763",5779,2863,2916,1470,2880,1429,756,1419,741
2015,"MUNICIPIO",2200954,"2460",2440,1273,1167,535,1300,605,240,621,306
2015,"MUNICIPIO",2201002,"4670",4688,2316,2372,1366,2367,955,647,1204,521
2015,"MUNICIPIO",2201051,"7686",7503,3825,3678,2613,3658,1232,1224,1826,628
2015,"MUNICIPIO",2201101,"11433",11067,5581,5486,3220,5649,2198,1552,2811,1123
2015,"MUNICIPIO",2201150,"11218",10516,5468,5048,3674,5507,1335,1769,2629,650
2015,"MUNICIPIO",2201176,"3887",3852,1821,2031,1027,1928,897,556,996,479
2015,"MUNICIPIO",2201200,"46072",44850,22566,22284,13168,23389,8293,6363,11623,4298
2015,"MUNICIPIO",2201309,"3287",3234,1690,1544,1014,1614,606,504,731,309
2015,"MUNICIPIO",2201408,"6935",6607,3230,3377,1829,3370,1408,869,1720,788
2015,"MUNICIPIO",2201507,"26331",25774,13048,12726,7342,13395,5037,3503,6638,2585
2015,"MUNICIPIO",2201556,"3919",3778,1936,1842,1066,2079,633,544,984,314
2015,"MUNICIPIO",2201572,"3464",3284,1682,1602,828,1802,654,402,862,338
2015,"MUNICIPIO",2201606,"10027",9911,5014,4897,2567,5010,2334,1285,2400,1212
2015,"MUNICIPIO",2201705,"5402",5319,2679,2640,1476,2701,1142,719,1309,612
2015,"MUNICIPIO",2201739,"6097",6015,3113,2902,1919,3118,978,945,1452,505
2015,"MUNICIPIO",2201770,"6599",6296,3204,3092,1946,3243,1107,934,1623,535
2015,"MUNICIPIO",2201804,"4436",4369,2149,2220,962,2230,1177,463,1129,628
2015,"MUNICIPIO",2201903,"24327",22629,11303,11326,6642,12700,3287,3264,6357,1705
2015,"MUNICIPIO",2201919,"5497",5304,2747,2557,1541,2784,979,790,1315,452
2015,"MUNICIPIO",2201929,"5549",5393,2693,2700,1466,2832,1095,728,1398,574
2015,"MUNICIPIO",2201945,"6380",6193,3079,3114,1708,3061,1424,871,1530,713
2015,"MUNICIPIO",2201960,"8159",7966,4075,3891,2074,4197,1695,1028,2035,828
2015,"MUNICIPIO",2201988,"3871",3850,1944,1906,1114,1985,751,580,954,372
2015,"MUNICIPIO",2202000,"19415",19074,9622,9452,5533,9941,3600,2717,4882,1853
2015,"MUNICIPIO",2202026,"8188",7974,4145,3829,2300,4115,1559,1126,1948,755
2015,"MUNICIPIO",2202059,"10325",9928,5094,4834,2581,5203,2144,1217,2550,1067
2015,"MUNICIPIO",2202075,"3471",3343,1698,1645,942,1703,698,471,815,359
2015,"MUNICIPIO",2202083,"7451",7163,3742,3421,2012,3825,1326,979,1769,673
2015,"MUNICIPIO",2202091,"5674",5671,2845,2826,1682,2900,1089,815,1444,567
2015,"MUNICIPIO",2202109,"5507",5408,2710,2698,1499,2694,1215,707,1358,633
2015,"MUNICIPIO",2202117,"4911",4693,2404,2289,1358,2565,770,649,1248,392
2015,"MUNICIPIO",2202133,"5801",5592,2839,2753,1462,3058,1072,740,1487,526
2015,"MUNICIPIO",2202174,"7094",6803,3466,3337,2316,3433,1054,1145,1658,534
2015,"MUNICIPIO",2202208,"45971",45177,21781,23396,10463,24703,10011,5142,12749,5505
2015,"MUNICIPIO",2202251,"3904",3921,2029,1892,1162,1926,833,543,913,436
2015,"MUNICIPIO",2202307,"20700",20020,9954,10066,5413,10433,4174,2697,5175,2194
2015,"MUNICIPIO",2202406,"11239",10953,5438,5515,3035,5622,2296,1471,2864,1180
2015,"MUNICIPIO",2202455,"4008",3878,1999,1879,1102,2049,727,552,952,375
2015,"MUNICIPIO",2202505,"10641",10212,5202,5010,3101,5448,1663,1525,2635,850
2015,"MUNICIPIO",2202539,"5728",5525,2837,2688,1697,2804,1024,863,1328,497
2015,"MUNICIPIO",2202554,"4994",4826,2500,2326,1426,2587,813,706,1221,399
2015,"MUNICIPIO",2202604,"18160",18336,8982,9354,5183,9087,4066,2508,4660,2186
2015,"MUNICIPIO",2202653,"5279",5039,2656,2383,1623,2610,806,823,1192,368
2015,"MUNICIPIO",2202703,"27230",26036,13165,12871,8089,13411,4536,3954,6602,2315
