"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"UF",22,19366,0,0,2477,16889,623,2771,6486,1861,5148,11033,8310,996,0,659,625,34,0,19,71,8,0,486,0,65,19,5,1,27,13,52,47,0,7,16,13,4,3
2015,"MUNICIPIO",220000,52,0,0,15,37,0,0,4,0,33,37,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220005,47,0,0,7,40,2,5,16,1,16,28,18,1,0,5,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220010,47,0,0,4,43,2,5,18,3,15,26,20,2,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220020,115,0,0,17,98,0,14,40,10,34,63,52,11,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0
2015,"MUNICIPIO",220025,47,0,0,6,41,2,2,25,4,8,29,18,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220027,40,0,0,14,26,2,6,5,6,7,16,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220030,85,0,0,11,74,1,11,26,5,31,54,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220040,274,0,0,34,240,10,42,93,26,69,157,117,10,0,4,4,0,0,1,1,0,0,2,0,2,1,1,0,0,0,2,2,0,0,0,1,1,0
2015,"MUNICIPIO",220045,18,0,0,5,13,1,1,5,2,4,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220050,120,0,0,19,101,4,18,50,5,24,71,49,2,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220060,43,0,0,7,36,1,6,14,3,12,21,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220070,40,0,0,5,35,2,4,15,3,11,19,21,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220080,17,0,0,1,16,1,3,6,2,4,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220090,36,0,0,2,34,0,6,13,3,12,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220095,17,0,0,5,12,0,3,3,2,4,12,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220100,28,0,0,5,23,0,2,11,4,6,16,12,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220105,32,0,0,5,27,0,1,11,3,12,19,13,3,0,6,6,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220110,69,0,0,3,66,3,6,31,9,17,41,28,1,0,3,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220115,51,0,0,12,39,0,1,21,2,15,37,14,4,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220117,31,0,0,1,30,0,3,20,4,3,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220120,266,0,0,32,234,11,34,77,27,85,150,115,15,0,11,11,0,0,1,1,0,0,8,0,2,1,0,0,1,0,2,2,0,0,1,0,0,0
2015,"MUNICIPIO",220130,17,0,0,3,14,1,1,3,2,7,11,6,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220140,46,0,0,5,41,0,4,19,6,12,29,17,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220150,143,0,0,16,127,1,18,62,9,37,80,63,8,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220155,32,0,0,2,30,0,3,11,1,15,15,15,2,0,5,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220157,13,0,0,1,12,0,2,4,1,5,8,5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220160,52,0,0,3,49,3,7,21,4,14,33,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220170,42,0,0,4,38,2,7,16,4,9,22,20,2,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220173,33,0,0,4,29,1,1,15,2,10,17,16,6,0,2,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
2015,"MUNICIPIO",220177,28,0,0,4,24,0,4,14,1,5,15,13,3,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220180,48,0,0,4,44,0,8,18,7,11,30,18,2,0,3,3,0,0,1,0,0,0,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1
2015,"MUNICIPIO",220190,101,0,0,11,90,2,17,35,7,29,64,37,9,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220191,34,0,0,3,31,1,10,13,1,6,17,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220192,26,0,0,3,23,0,6,7,4,6,19,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220194,45,0,0,4,41,1,3,18,6,13,22,23,1,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220196,32,0,0,0,32,2,5,14,4,7,17,15,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
2015,"MUNICIPIO",220198,20,0,0,1,19,0,4,10,1,4,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220200,115,0,0,11,104,5,17,27,13,42,68,47,5,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
