"","ANO","NIVEL","CODMUNRES","POPRE_RA","POPRE_RE"
"1",2015,"UF",22,5278.779,531.813
"2",2015,"MUNICIPIO",220005,1.563,NA
"3",2015,"MUNICIPIO",220010,3.944,NA
"4",2015,"MUNICIPIO",220020,16.013,NA
"5",2015,"MUNICIPIO",220025,3.316,NA
"6",2015,"MUNICIPIO",220027,4.832,NA
"7",2015,"MUNICIPIO",220030,4.449,NA
"8",2015,"MUNICIPIO",220040,21.311,2.19
"9",2015,"MUNICIPIO",220045,3.954,NA
"10",2015,"MUNICIPIO",220050,10.34,NA
"11",2015,"MUNICIPIO",220060,4.811,NA
"12",2015,"MUNICIPIO",220070,6.086,NA
"13",2015,"MUNICIPIO",220080,2.966,NA
"14",2015,"MUNICIPIO",220090,4.192,NA
"15",2015,"MUNICIPIO",220095,NA,NA
"16",2015,"MUNICIPIO",220100,1.68,NA
"17",2015,"MUNICIPIO",220105,3.378,NA
"18",2015,"MUNICIPIO",220110,7.873,NA
"19",2015,"MUNICIPIO",220115,6.481,NA
"20",2015,"MUNICIPIO",220117,NA,NA
"21",2015,"MUNICIPIO",220120,21.861,NA
"22",2015,"MUNICIPIO",220130,2.143,NA
"23",2015,"MUNICIPIO",220140,6.107,5.027
"24",2015,"MUNICIPIO",220150,12.527,NA
"25",2015,"MUNICIPIO",220155,NA,NA
"26",2015,"MUNICIPIO",220157,2.148,NA
"27",2015,"MUNICIPIO",220160,6.255,NA
"28",2015,"MUNICIPIO",220170,4.804,NA
"29",2015,"MUNICIPIO",220173,NA,NA
"30",2015,"MUNICIPIO",220177,3.5,NA
"31",2015,"MUNICIPIO",220180,2.355,NA
"32",2015,"MUNICIPIO",220190,23.447,NA
"33",2015,"MUNICIPIO",220191,NA,NA
"34",2015,"MUNICIPIO",220192,1.436,NA
"35",2015,"MUNICIPIO",220194,NA,NA
"36",2015,"MUNICIPIO",220196,5.329,NA
"37",2015,"MUNICIPIO",220198,2.033,NA
"38",2015,"MUNICIPIO",220200,13.938,NA
"39",2015,"MUNICIPIO",220202,5.598,NA
"40",2015,"MUNICIPIO",220205,2.188,NA
"41",2015,"MUNICIPIO",220207,NA,NA
"42",2015,"MUNICIPIO",220208,NA,NA
"43",2015,"MUNICIPIO",220209,NA,NA
"44",2015,"MUNICIPIO",220210,2.259,NA
"45",2015,"MUNICIPIO",220211,NA,NA
"46",2015,"MUNICIPIO",220213,2.81,200
"47",2015,"MUNICIPIO",220217,NA,NA
"48",2015,"MUNICIPIO",220220,45.971,NA
"49",2015,"MUNICIPIO",220225,2.064,NA
"50",2015,"MUNICIPIO",220230,13.866,NA
"51",2015,"MUNICIPIO",220240,5.143,NA
"52",2015,"MUNICIPIO",220245,1.201,NA
"53",2015,"MUNICIPIO",220250,3.109,NA
"54",2015,"MUNICIPIO",220253,3.572,NA
"55",2015,"MUNICIPIO",220255,2.127,NA
"56",2015,"MUNICIPIO",220260,13.278,NA
"57",2015,"MUNICIPIO",220265,5.111,NA
"58",2015,"MUNICIPIO",220270,8.064,12.571
"59",2015,"MUNICIPIO",220271,4.3,NA
"60",2015,"MUNICIPIO",220272,NA,NA
"61",2015,"MUNICIPIO",220273,3.363,NA
"62",2015,"MUNICIPIO",220275,2.357,NA
"63",2015,"MUNICIPIO",220277,3.348,NA
"64",2015,"MUNICIPIO",220280,3.245,NA
"65",2015,"MUNICIPIO",220285,2.46,NA
"66",2015,"MUNICIPIO",220290,20.912,3.905
"67",2015,"MUNICIPIO",220300,2.678,NA
"68",2015,"MUNICIPIO",220310,7.883,NA
"69",2015,"MUNICIPIO",220320,9.547,NA
"70",2015,"MUNICIPIO",220323,NA,NA
"71",2015,"MUNICIPIO",220325,NA,NA
"72",2015,"MUNICIPIO",220327,1.585,NA
"73",2015,"MUNICIPIO",220330,12.981,NA
"74",2015,"MUNICIPIO",220335,2.516,NA
"75",2015,"MUNICIPIO",220340,4.437,NA
"76",2015,"MUNICIPIO",220342,1.297,NA
"77",2015,"MUNICIPIO",220345,NA,NA
"78",2015,"MUNICIPIO",220350,12.168,NA
"79",2015,"MUNICIPIO",220360,4.638,NA
"80",2015,"MUNICIPIO",220370,26.687,NA
"81",2015,"MUNICIPIO",220375,NA,NA
"82",2015,"MUNICIPIO",220380,2.504,NA
"83",2015,"MUNICIPIO",220385,NA,NA
"84",2015,"MUNICIPIO",220390,56.562,1.95
"85",2015,"MUNICIPIO",220400,3.941,NA
"86",2015,"MUNICIPIO",220410,2.668,NA
"87",2015,"MUNICIPIO",220415,NA,NA
"88",2015,"MUNICIPIO",220420,4.088,NA
"89",2015,"MUNICIPIO",220430,9.126,NA
"90",2015,"MUNICIPIO",220435,NA,NA
"91",2015,"MUNICIPIO",220440,4.202,NA
"92",2015,"MUNICIPIO",220450,9.776,NA
"93",2015,"MUNICIPIO",220455,2.34,NA
"94",2015,"MUNICIPIO",220460,3.717,NA
"95",2015,"MUNICIPIO",220465,8.784,NA
"96",2015,"MUNICIPIO",220470,9.923,3.5
"97",2015,"MUNICIPIO",220480,6.228,NA
"98",2015,"MUNICIPIO",220490,2.749,NA
"99",2015,"MUNICIPIO",220500,3.834,NA
"100",2015,"MUNICIPIO",220510,8.119,NA
"101",2015,"MUNICIPIO",220515,2.608,NA
"102",2015,"MUNICIPIO",220520,8.856,NA
"103",2015,"MUNICIPIO",220525,1.339,NA
"104",2015,"MUNICIPIO",220527,NA,NA
"105",2015,"MUNICIPIO",220530,3.095,NA
"106",2015,"MUNICIPIO",220535,2.3,1.8
"107",2015,"MUNICIPIO",220540,5.943,NA
"108",2015,"MUNICIPIO",220545,NA,NA
"109",2015,"MUNICIPIO",220550,26.089,NA
"110",2015,"MUNICIPIO",220551,1.851,NA
"111",2015,"MUNICIPIO",220552,2.133,NA
"112",2015,"MUNICIPIO",220553,2.525,NA
"113",2015,"MUNICIPIO",220555,3.391,NA
"114",2015,"MUNICIPIO",220557,NA,NA
"115",2015,"MUNICIPIO",220556,NA,NA
"116",2015,"MUNICIPIO",220558,NA,NA
"117",2015,"MUNICIPIO",220559,NA,NA
"118",2015,"MUNICIPIO",220554,2.772,NA
"119",2015,"MUNICIPIO",220560,4.639,NA
"120",2015,"MUNICIPIO",220570,21.939,NA
"121",2015,"MUNICIPIO",220580,14.772,NA
"122",2015,"MUNICIPIO",220585,NA,NA
"123",2015,"MUNICIPIO",220590,3.971,NA
"124",2015,"MUNICIPIO",220595,NA,NA
"125",2015,"MUNICIPIO",220600,4.26,NA
"126",2015,"MUNICIPIO",220605,NA,NA
"127",2015,"MUNICIPIO",220610,6.818,NA
"128",2015,"MUNICIPIO",220620,11.763,NA
"129",2015,"MUNICIPIO",220630,1.235,NA
"130",2015,"MUNICIPIO",220635,4.758,NA
"131",2015,"MUNICIPIO",220640,7.031,NA
"132",2015,"MUNICIPIO",220650,4.084,NA
"133",2015,"MUNICIPIO",220660,3.958,NA
"134",2015,"MUNICIPIO",220665,NA,NA
"135",2015,"MUNICIPIO",220667,5.5,NA
"136",2015,"MUNICIPIO",220669,2.245,NA
"137",2015,"MUNICIPIO",220670,3.394,NA
"138",2015,"MUNICIPIO",220672,2.168,NA
"139",2015,"MUNICIPIO",220675,NA,NA
"140",2015,"MUNICIPIO",220680,2.54,NA
"141",2015,"MUNICIPIO",220795,962,NA
"142",2015,"MUNICIPIO",220690,4.179,NA
"143",2015,"MUNICIPIO",220695,1.7,NA
"144",2015,"MUNICIPIO",220700,22.065,9.078
"145",2015,"MUNICIPIO",220710,NA,NA
"146",2015,"MUNICIPIO",220720,4.467,NA
"147",2015,"MUNICIPIO",220730,3.065,NA
"148",2015,"MUNICIPIO",220735,1.65,NA
"149",2015,"MUNICIPIO",220740,1.701,NA
"150",2015,"MUNICIPIO",220750,9.654,NA
"151",2015,"MUNICIPIO",220755,759,NA
"152",2015,"MUNICIPIO",220760,4.988,NA
"153",2015,"MUNICIPIO",220770,145.29,37.957
"154",2015,"MUNICIPIO",220775,2.973,NA
"155",2015,"MUNICIPIO",220777,2.346,NA
"156",2015,"MUNICIPIO",220779,NA,NA
"157",2015,"MUNICIPIO",220780,14.048,NA
"158",2015,"MUNICIPIO",220785,2.601,NA
"159",2015,"MUNICIPIO",220790,27.978,NA
"160",2015,"MUNICIPIO",220793,NA,NA
"161",2015,"MUNICIPIO",220800,75.076,19.314
"162",2015,"MUNICIPIO",220810,6.002,NA
"163",2015,"MUNICIPIO",220820,7.432,NA
"164",2015,"MUNICIPIO",220830,24.795,NA
"165",2015,"MUNICIPIO",220840,57.33,NA
"166",2015,"MUNICIPIO",220850,7.692,NA
"167",2015,"MUNICIPIO",220855,NA,NA
"168",2015,"MUNICIPIO",220860,2.775,NA
"169",2015,"MUNICIPIO",220865,NA,NA
"170",2015,"MUNICIPIO",220870,NA,50
"171",2015,"MUNICIPIO",220880,12.606,NA
"172",2015,"MUNICIPIO",220885,3.199,NA
"173",2015,"MUNICIPIO",220887,NA,NA
"174",2015,"MUNICIPIO",220890,4.286,NA
"175",2015,"MUNICIPIO",220900,4.771,NA
"176",2015,"MUNICIPIO",220910,4.866,NA
"177",2015,"MUNICIPIO",220915,3.926,NA
"178",2015,"MUNICIPIO",220920,1.467,NA
"179",2015,"MUNICIPIO",220930,3.588,NA
"180",2015,"MUNICIPIO",220935,2.099,NA
"181",2015,"MUNICIPIO",220937,4.658,NA
"182",2015,"MUNICIPIO",220940,4.316,NA
"183",2015,"MUNICIPIO",220945,1.208,NA
"184",2015,"MUNICIPIO",220950,3.037,NA
"185",2015,"MUNICIPIO",220955,355,NA
"186",2015,"MUNICIPIO",220960,2.76,NA
"187",2015,"MUNICIPIO",220965,2.062,NA
"188",2015,"MUNICIPIO",220970,2.492,NA
"189",2015,"MUNICIPIO",220975,NA,NA
"190",2015,"MUNICIPIO",220980,4.432,NA
"191",2015,"MUNICIPIO",220985,2.27,NA
"192",2015,"MUNICIPIO",220987,NA,NA
"193",2015,"MUNICIPIO",220990,4.605,NA
"194",2015,"MUNICIPIO",220995,4.738,NA
"195",2015,"MUNICIPIO",220997,NA,NA
"196",2015,"MUNICIPIO",221000,17.42,16
"197",2015,"MUNICIPIO",221005,3.005,NA
"198",2015,"MUNICIPIO",221010,2.577,NA
"199",2015,"MUNICIPIO",221020,2.584,NA
"200",2015,"MUNICIPIO",221030,5.602,NA
"201",2015,"MUNICIPIO",221035,1.771,NA
"202",2015,"MUNICIPIO",221037,943,NA
"203",2015,"MUNICIPIO",221038,NA,NA
"204",2015,"MUNICIPIO",221039,NA,NA
"205",2015,"MUNICIPIO",221040,6.854,NA
"206",2015,"MUNICIPIO",221050,10.5,NA
"207",2015,"MUNICIPIO",221060,26.96,NA
"208",2015,"MUNICIPIO",221062,NA,NA
"209",2015,"MUNICIPIO",221063,1.916,NA
"210",2015,"MUNICIPIO",221065,NA,NA
"211",2015,"MUNICIPIO",221070,7.87,NA
"212",2015,"MUNICIPIO",221080,8.638,NA
"213",2015,"MUNICIPIO",221090,2.051,NA
"214",2015,"MUNICIPIO",221093,NA,NA
"215",2015,"MUNICIPIO",221095,NA,NA
"216",2015,"MUNICIPIO",221097,NA,NA
"217",2015,"MUNICIPIO",221100,825.015,168.521
"218",2015,"MUNICIPIO",221110,20.944,NA
"219",2015,"MUNICIPIO",221120,20.133,NA
"220",2015,"MUNICIPIO",221130,18.279,NA
"221",2015,"MUNICIPIO",221135,1.46,NA
"222",2015,"MUNICIPIO",221140,2.834,NA
"223",2015,"MUNICIPIO",221150,NA,NA
"224",2015,"MUNICIPIO",221160,NA,NA
"225",2015,"MUNICIPIO",221170,1.8,NA
